Category,PDF Link
State,https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/downloads/som107ap_a_hospitals.pdf
Professional,https://nam.edu/wp-content/uploads/2021/07/4.3-AI-in-Health-Care-title-authors-summary.pdf
State,https://www.chfs.ky.gov/agencies/dph/oc/Documents/FY24-Clinical-Service-Guide.pdf
State,https://humanservices.hawaii.gov/wp-content/uploads/2020/08/BasicHealthSafetyGuide_HAWAIIAN.FINAL_.pdf
State,https://www.maine.gov/dhhs/mecdc/environmental-health/plumb/documents/rules/CMR%20241%2007-1995.pdf
State,https://dls.maryland.gov/pubs/prod/OperBgt/Joint-Chairmens-Report-2023-Session.pdf
Professional,https://www.ahima.org/media/gq5jeclv/recertification_guide_2021.pdf
State,https://dsp.delaware.gov/wp-content/uploads/sites/118/2020/07/Annual-Report-2019.pdf
Professional,https://jtc1info.org/wp-content/uploads/2023/12/Overview_of_ISO_IEC_workshop_Wael.pdf
Professional,https://scholarworks.gvsu.edu/context/gradprojects/article/1486/viewcontent/Balancing_Innovation_and_Integrity..._Masters_Project__A._Thomas.pdf
State,https://doit.illinois.gov/content/dam/soi/en/web/doit/meetings/ai-taskforce/reports/2024-gen-ai-task-force-report.pdf
State,https://www.in.gov/sboe/files/Board-Memo-and-SEBH-Plan.pdf
Federal,https://www.healthit.gov/sites/default/files/page/2022-10/Priorities%20to%20Accelerate%20Workflow%20Automation-508-1022.pdf
State,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/504-resource-guide-201612.pdf
Federal,https://dpcpsi.nih.gov/sites/default/files/NIH-2010-2011-Biennial-Report-2-19-13.pdf
State,https://dbr.ri.gov/sites/g/files/xkgbur696/files/documents/divisions/insurance/financial_info/2021/Metropolitan_Property_and_Casualty_Insurance_Company_03_31_2021.pdf
Professional,https://www.ama-assn.org/system/files/a23-handbook-refcom-c.pdf
State,https://education.mn.gov/mdeprod/groups/educ/documents/hiddencontent/mdaw/mda1/~edisp/005242.pdf
State,https://www.in.gov/cybersecurity/files/State-of-Cyber-Report-_-v7_APPROVED.pdf
State,https://dol.alaska.gov/oshboard/do/04-2204_Nautilus_Foods.pdf
