Category,PDF Link
Federal,https://stacks.cdc.gov/view/cdc/121086/cdc_121086_DS1.pdf
State,https://iris.iowa.gov/docs/CompleteUserManual.pdf
State,https://www.hhs.texas.gov/sites/default/files/documents/eqro-annual-technical-report-contract-sfy-2024.pdf
State,https://ags.hawaii.gov/wp-content/uploads/2021/06/2018StateBuildingCode_20210518.pdf
State,https://www.nj.gov/njded/code/current/title6a/chap16.pdf
Federal,http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1222.pdf
Federal,https://aspe.hhs.gov/sites/default/files/documents/c3430d539a1463924ddb515151759d38/PTAC-Jun-11-LS2-Slides.pdf
State,https://www.cdss.ca.gov/agedblinddisabled/res/swta/ihss101_partii.pdf
State,https://www.nj.gov/it/docs/StrategicPlan_25-26.pdf
State,https://www.maine.gov/future/sites/maine.gov.future/files/2024-10/1.Maine%20Wont%20Wait%20Full%20Draft%20for%20MCC.pdf
State,https://www.utah.gov/pmn/files/1134371.pdf
Federal,https://datascience.nih.gov/sites/default/files/users/user516/AI-Supplement-Dr-Pilhwa-Lee-Presentation-508.pdf
State,https://hwbdocs.env.nm.gov/Fort%20Bliss/1993-04-03%20Final%20EA%20for%20for%20Roving%20Sands%2093%20Joint%20Training%20Exercise.pdf
State,https://mgaleg.maryland.gov/cmte_testimony/2024/fin/19866_02132024_203842-713.pdf
State,https://dphhs.mt.gov/assets/publichealth/EMSTS/opioids/SUDsStrategicPlan2024.pdf
State,https://www.in.gov/indianabroadband/files/Indiana-DE-Plan.pdf
State,https://health.hawaii.gov/shpda/files/2014/09/sh0805a.pdf
State,https://budget.digital.mass.gov/bb/h1/fy10h1/dnld10/briefs10.pdf
State,https://www.cms.gov/files/document/cms-9895-p-patient-protection-final.pdf
State,https://medicaid.ms.gov/wp-content/uploads/2014/04/CHIP-Contract.pdf
State,https://www.nd.gov/dpi/sites/www/files/documents/Academic%20Support/Computer%20Science%20and%20Cybersecurity%20Standards%20Draft%202.pdf
State,https://www.wtb.wa.gov/wp-content/uploads/2019/04/Future-of-Work-2018-Report.pdf
State,https://mn.gov/dhs/assets/Minnesota%20Final%20Report%20on%202020-2024%20CFSP_tcm1053-627766.pdf
Federal,https://remm.hhs.gov/tmt-handbook-20091.pdf
Federal,https://osp.od.nih.gov/wp-content/uploads/ninja-forms/7/Berg-Revised-Response-to-NOT-OD-23-140-3Sept2023.pdf
State,https://wsdot.wa.gov/sites/default/files/2025-04/CEP-PublicReviewDraft-2025Update.pdf
State,https://le.utah.gov/xcode/Title58/Chapter28/C58-28_1800010118000101.pdf
Professional,https://nam.edu/wp-content/uploads/2025/02/AI-Enabled-Protein-Design_10.17.24.pdf
State,https://legislature.michigan.gov/documents/2023-2024/publicact/pdf/2023-PA-0119.pdf
State,https://mh.alabama.gov/wp-content/uploads/2025/02/2024-PATH-App-FY25-FINAL-download.pdf
Federal,https://www.nidcr.nih.gov/sites/default/files/2022-01/NIDCR-Strategic-Plan-2021-2026.pdf
State,https://www.capitol.tn.gov/Archives/Joint/committees/fiscal-review/contracts/13.%20Commerce%20(AT&T%20Corp).pdf
State,https://www.education.nh.gov/sites/g/files/ehbemt326/files/inline-documents/sonh/initial-proposal-minimum-standards-for-public-school-approval-ed-306.pdf
State,https://des.az.gov/sites/default/files/Complete_Division_Medical_Policy_Manual.pdf
Federal,http://www.ncvhs.hhs.gov/wp-content/uploads/2014/05/001030h2.pdf
State,https://www.ftb.ca.gov/about-ftb/meetings/board-meetings/2024/march-2024/4_artificial_intelligence_and_ftb.pdf
Federal,https://csrc.nist.gov/CSRC/media/Events/ISPAB-February-2015-Meeting/documents/ispab_meeting_minutes_february_2015.pdf
Federal,https://www.cms.hhs.gov/manuals/downloads/clm104c12.pdf
