URL,State
https://www.fda.gov/files/medical%20devices/published/US-FDA-Artificial-Intelligence-and-Machine-Learning-Discussion-Paper.pdf,NA
https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf,NA
https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf,NA
https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf,NA
https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf,NA
https://www.healthit.gov/sites/default/files/page/2020-02/GettingerModeratorSlidesAIPanelsforONCAnnualMeeting12720Final.pdf,NA
https://www.healthit.gov/sites/default/files/page/2021-02/ONC-LEAP-in-Health-IT-SEN-FY2021.pdf,NA
https://www.healthit.gov/sites/default/files/2022-01/ONC_AI_in_Health_IT_Showcase.pdf,NA
https://www.healthit.gov/sites/default/files/facas/2024-04-11_John_Brownstein_Presentation_508.pdf,NA
https://www.healthit.gov/sites/default/files/page/2024-11/HITAC_Annual_Report_for_FY24_508.pdf,NA
https://digirepo.nlm.nih.gov/master/borndig/9918734183106676/9918734183106676.pdf,NA
https://dpcpsi.nih.gov/sites/default/files/2025-04/115PM-OSC-Concept-Clearance-PRIMED-AI-Chiang-Tromberg-508.pdf,NA
https://commonfund.nih.gov/sites/default/files/PRIMED-AI/PRIMED-AI%20External-Input-Narrative-508.pdf,NA
https://seed.nih.gov/sites/default/files/2023-09/NIA-SaMD-and-AI.pdf,NA
https://seed.nih.gov/sites/default/files/2025-03/HHS_Topics_for_Budget_WaiversREV.pdf,NA
https://braininitiative.nih.gov/sites/default/files/documents/brain2025_508c_2.pdf,NA
https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-5.pdf,NA
https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8084.pdf,NA
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf,NA
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/1500-18/NIST.SP.1500-18r2.pdf,NA
https://www.cms.gov/priorities/innovation/files/x/aichallenge-pubnotice_08_13_2020.pdf,NA
https://www.cms.gov/priorities/innovation/files/slides/ai-hoc-overview-webinar-slides.pdf,NA
https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf,NA
https://www.cdc.gov/health-communication/media/pdfs/2024/10/AI-for-Good_Listen-Up_S2E5_Transcript.pdf,NA
https://beta.cdc.gov/global-health/media/pdfs/GDHS_Strategy2022_REV_508.pdf,NA
https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,NA
https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf,NA
https://www.aim-ahead.net/media/hd3fws1l/dstc-resources-pptx.pdf,NA
https://www.aim-ahead.net/media/3cvd4x4g/pair-cohort-2-informational-webinar-shared.pdf,NA
https://www.aim-ahead.net/media/5q3hmb5b/webinar-4-slide-presentation.pdf,NA
https://aitaskforce.alabama.gov/wp-content/uploads/2025/03/GenAI-TaskForce-Report_Final_20250321-002.pdf,Alabama
https://medicaid.alabama.gov/documents/7.0_Providers/7.6_Manuals/7.8_PES_Manual_2-12-25.pdf,Alabama
https://agi.alabama.gov/hemp/wp-content/uploads/sites/11/2022/03/Medical-Cannabis-Act-2021-450.pdf,Alabama
https://doc.alabama.gov/docs/AdminRegs/AR410.pdf,Alabama
https://oag.ca.gov/system/files/attachments/press-docs/Legal%20Advisory%20-%20Application%20of%20Existing%20CA%20Laws%20to%20Artificial%20Intelligence.pdf,California
https://www.insurance.ca.gov/0250-insurers/0500-legal-info/0200-regulations/HealthGuidance/upload/SB-1120-1-Guidance-Use-of-Artificial-Intelligence-Algorithms-and-Other-Software-Tools-in-Utilization-Management.pdf,California
https://oag.ca.gov/system/files/attachments/press-docs/FINAL-%20Letter%20to%20Secretary%20Xavier%20Becerra%20and%20Dr.%20Tripathi%206-20-2023.pdf,California
https://apcp.assembly.ca.gov/system/files/2025-04/ab-489-bonta-apcp-analysis_0.pdf,California
https://apcp.assembly.ca.gov/system/files/2024-04/ab-3030-calderon-apcp-analysis.pdf,California
https://sjud.senate.ca.gov/system/files/2025-04/sb-503-weber-pierson-sjud-analysis.pdf,California
https://apcp.assembly.ca.gov/system/files/2025-05/background-paper-genai-in-health-care-joint-asm-health-privacy-hearing-5.28.pdf,California
https://portal.ct.gov/-/media/sde/board/position_statement_cell_phone_use.pdf,Connecticut
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/dphacc2007.pdf,Delaware
https://dhr.delaware.gov/benefits/sebc/documents/sub-comm-2020/0109-cerner-presentation.pdf,Delaware
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/2009ruralmentalhealthassessment.pdf,Delaware
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/demsocreport2017.pdf,Delaware
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/dphacc2008.pdf,Delaware
https://dvcc.delaware.gov/wp-content/uploads/sites/87/2021/03/2021_DVCC_DV_Manual_for_HCPs_FINAL_03.09.2021.pdf,Delaware
https://ahca.myflorida.com/content/download/22410/file/FL_2021-2022_EQR-TR_Report.pdf,Florida
https://ahca.myflorida.com/content/download/7238/file/Ambulatory_Surgical_Center_ST_M.pdf,Florida
https://ahca.myflorida.com/content/download/24675/file/MED180%20D50%20MMA%20Summative%20Report%20FINAL.pdf,Florida
https://ahca.myflorida.com/Medicaid/pdffiles/provider_alerts/2020_03/Medicaid_Telemedicine_Guidance_20200318.pdf,Florida
https://ahca.myflorida.com/content/download/10499/file/SCHIP_MeetingPacket061621.pdf,Florida
https://ahca.myflorida.com/content/download/25735/file/2023-24%20Annual%20Fraud%20and%20Abuse%20Final%2001%2017%202025.pdf,Florida
"https://ahca.myflorida.com/content/download/24421/file/The%20Joseph%20L.%20Morse%20Health%20Center,%20Inc.%20-%20Redacted.pdf",Florida
https://ahca.myflorida.com/content/download/20154/file/Florida_Woman_Care_and_Lucina_Analytics-Medicaid_RFI_014-2122_Response.pdf,Florida
https://dch.georgia.gov/sites/dch.georgia.gov/files/PHCP-InitialLicensurePacket-3-21-16.pdf,Georgia
https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/NOTICES/New%20Biller-Web%20Portal%20Navigation%202023%20Webinar%20PresentationFINALFINAL%2020230112173143.pdf,Georgia
https://dch.georgia.gov/sites/dch.georgia.gov/files/ADC-InitialLicensurePacket-1-15-15_0.pdf,Georgia
https://health.hawaii.gov/dcab/files/2018/07/Kauai-2018.pdf,Hawaii
https://health.hawaii.gov/dcab/files/2019/07/Travler-Tips-Maui-and-Molokai-2019-07-web.pdf,Hawaii
https://health.hawaii.gov/dcab/files/2017/06/Maui-8x11.pdf,Hawaii
https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2024/interim/241115_aiwg_03_HERRING_Presentation%20to%20Idaho%20AI%20WG.pdf,Idaho
https://dopl.idaho.gov/wp-content/uploads/2025/06/2025-June-BOM-newsletter.pdf,Idaho
https://veterans.idaho.gov/wp-content/uploads/2024/05/2024-MAY-Bulletin.pdf,Idaho
https://www.chfs.ky.gov/agencies/os/oats/polstand/080101AIGen%20AI.pdf,Kentucky
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/29604_03262025_92242-987.pdf,Maryland
https://mgaleg.maryland.gov/cmte_testimony/2025/hgo/1j4iZpX3Ve6-I1rNwbJGBSgJV2LOs03sD.pdf,Maryland
https://mgaleg.maryland.gov/2025RS/fnotes/bil_0000/hb0820.pdf,Maryland
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/1GRIaGO_kWSq1rEV21eAeK6WPYNZggVvC.pdf,Maryland
https://mgaleg.maryland.gov/2025RS/bills/hb/hb0820F.pdf,Maryland
https://ag.ny.gov/sites/default/files/reports/oag-aisymposiumreport.pdf,New York
https://info.nystateofhealth.ny.gov/sites/default/files/NYSOH%20Health%20Equity%20Portfolio.pdf,New York
