URL,Year
https://www.fda.gov/files/medical%20devices/published/US-FDA-Artificial-Intelligence-and-Machine-Learning-Discussion-Paper.pdf,
https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf,2022
https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf,2020
https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf,
https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf,2023
https://www.healthit.gov/sites/default/files/page/2020-02/GettingerModeratorSlidesAIPanelsforONCAnnualMeeting12720Final.pdf,
https://www.healthit.gov/sites/default/files/page/2021-02/ONC-LEAP-in-Health-IT-SEN-FY2021.pdf,2021
https://www.healthit.gov/sites/default/files/2022-01/ONC_AI_in_Health_IT_Showcase.pdf,2022
https://www.healthit.gov/sites/default/files/facas/2024-04-11_John_Brownstein_Presentation_508.pdf,
https://www.healthit.gov/sites/default/files/page/2024-11/HITAC_Annual_Report_for_FY24_508.pdf,2024
https://digirepo.nlm.nih.gov/master/borndig/9918734183106676/9918734183106676.pdf,2003
https://dpcpsi.nih.gov/sites/default/files/2025-04/115PM-OSC-Concept-Clearance-PRIMED-AI-Chiang-Tromberg-508.pdf,2025
https://commonfund.nih.gov/sites/default/files/PRIMED-AI/PRIMED-AI%20External-Input-Narrative-508.pdf,2024
https://seed.nih.gov/sites/default/files/2023-09/NIA-SaMD-and-AI.pdf,2022
https://seed.nih.gov/sites/default/files/2025-03/HHS_Topics_for_Budget_WaiversREV.pdf,2024
https://braininitiative.nih.gov/sites/default/files/documents/brain2025_508c_2.pdf,2014
https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-5.pdf,2024
https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8084.pdf,2015
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf,2018
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/1500-18/NIST.SP.1500-18r2.pdf,2023
https://www.cms.gov/priorities/innovation/files/x/aichallenge-pubnotice_08_13_2020.pdf,2019
https://www.cms.gov/priorities/innovation/files/slides/ai-hoc-overview-webinar-slides.pdf,
https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf,2024
https://www.cdc.gov/health-communication/media/pdfs/2024/10/AI-for-Good_Listen-Up_S2E5_Transcript.pdf,
https://beta.cdc.gov/global-health/media/pdfs/GDHS_Strategy2022_REV_508.pdf,2021
https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,2020
https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf,2023
https://www.aim-ahead.net/media/hd3fws1l/dstc-resources-pptx.pdf,2022
https://www.aim-ahead.net/media/3cvd4x4g/pair-cohort-2-informational-webinar-shared.pdf,2024
https://www.aim-ahead.net/media/5q3hmb5b/webinar-4-slide-presentation.pdf,2024
https://aitaskforce.alabama.gov/wp-content/uploads/2025/03/GenAI-TaskForce-Report_Final_20250321-002.pdf,2024
https://medicaid.alabama.gov/documents/7.0_Providers/7.6_Manuals/7.8_PES_Manual_2-12-25.pdf,2025
https://agi.alabama.gov/hemp/wp-content/uploads/sites/11/2022/03/Medical-Cannabis-Act-2021-450.pdf,1975
https://doc.alabama.gov/docs/AdminRegs/AR410.pdf,2024
https://oag.ca.gov/system/files/attachments/press-docs/Legal%20Advisory%20-%20Application%20of%20Existing%20CA%20Laws%20to%20Artificial%20Intelligence.pdf,2024
https://www.insurance.ca.gov/0250-insurers/0500-legal-info/0200-regulations/HealthGuidance/upload/SB-1120-1-Guidance-Use-of-Artificial-Intelligence-Algorithms-and-Other-Software-Tools-in-Utilization-Management.pdf,2024
https://oag.ca.gov/system/files/attachments/press-docs/FINAL-%20Letter%20to%20Secretary%20Xavier%20Becerra%20and%20Dr.%20Tripathi%206-20-2023.pdf,2023
https://apcp.assembly.ca.gov/system/files/2025-04/ab-489-bonta-apcp-analysis_0.pdf,2025
https://apcp.assembly.ca.gov/system/files/2024-04/ab-3030-calderon-apcp-analysis.pdf,2024
https://sjud.senate.ca.gov/system/files/2025-04/sb-503-weber-pierson-sjud-analysis.pdf,2025
https://apcp.assembly.ca.gov/system/files/2025-05/background-paper-genai-in-health-care-joint-asm-health-privacy-hearing-5.28.pdf,2025
https://portal.ct.gov/-/media/sde/board/position_statement_cell_phone_use.pdf,2023
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/dphacc2007.pdf,2007
https://dhr.delaware.gov/benefits/sebc/documents/sub-comm-2020/0109-cerner-presentation.pdf,2018
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/2009ruralmentalhealthassessment.pdf,2009
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/demsocreport2017.pdf,2017
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/dphacc2008.pdf,2009
https://dvcc.delaware.gov/wp-content/uploads/sites/87/2021/03/2021_DVCC_DV_Manual_for_HCPs_FINAL_03.09.2021.pdf,2021
https://ahca.myflorida.com/content/download/22410/file/FL_2021-2022_EQR-TR_Report.pdf,2022
https://ahca.myflorida.com/content/download/7238/file/Ambulatory_Surgical_Center_ST_M.pdf,2024
https://ahca.myflorida.com/content/download/24675/file/MED180%20D50%20MMA%20Summative%20Report%20FINAL.pdf,2014
https://ahca.myflorida.com/Medicaid/pdffiles/provider_alerts/2020_03/Medicaid_Telemedicine_Guidance_20200318.pdf,2020
https://ahca.myflorida.com/content/download/10499/file/SCHIP_MeetingPacket061621.pdf,2021
https://ahca.myflorida.com/content/download/25735/file/2023-24%20Annual%20Fraud%20and%20Abuse%20Final%2001%2017%202025.pdf,2023
"https://ahca.myflorida.com/content/download/24421/file/The%20Joseph%20L.%20Morse%20Health%20Center,%20Inc.%20-%20Redacted.pdf",2024
https://ahca.myflorida.com/content/download/20154/file/Florida_Woman_Care_and_Lucina_Analytics-Medicaid_RFI_014-2122_Response.pdf,2022
https://dch.georgia.gov/sites/dch.georgia.gov/files/PHCP-InitialLicensurePacket-3-21-16.pdf,2008
https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/NOTICES/New%20Biller-Web%20Portal%20Navigation%202023%20Webinar%20PresentationFINALFINAL%2020230112173143.pdf,
https://dch.georgia.gov/sites/dch.georgia.gov/files/ADC-InitialLicensurePacket-1-15-15_0.pdf,
https://health.hawaii.gov/dcab/files/2018/07/Kauai-2018.pdf,2018
https://health.hawaii.gov/dcab/files/2019/07/Travler-Tips-Maui-and-Molokai-2019-07-web.pdf,2019
https://health.hawaii.gov/dcab/files/2017/06/Maui-8x11.pdf,2019
https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2024/interim/241115_aiwg_03_HERRING_Presentation%20to%20Idaho%20AI%20WG.pdf,2024
https://dopl.idaho.gov/wp-content/uploads/2025/06/2025-June-BOM-newsletter.pdf,2025
https://veterans.idaho.gov/wp-content/uploads/2024/05/2024-MAY-Bulletin.pdf,2024
https://www.chfs.ky.gov/agencies/os/oats/polstand/080101AIGen%20AI.pdf,2025
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/29604_03262025_92242-987.pdf,2025
https://mgaleg.maryland.gov/cmte_testimony/2025/hgo/1j4iZpX3Ve6-I1rNwbJGBSgJV2LOs03sD.pdf,2024
https://mgaleg.maryland.gov/2025RS/fnotes/bil_0000/hb0820.pdf,2026
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/1GRIaGO_kWSq1rEV21eAeK6WPYNZggVvC.pdf,2025
https://mgaleg.maryland.gov/2025RS/bills/hb/hb0820F.pdf,2017
https://ag.ny.gov/sites/default/files/reports/oag-aisymposiumreport.pdf,2024
https://info.nystateofhealth.ny.gov/sites/default/files/NYSOH%20Health%20Equity%20Portfolio.pdf,
https://ahea.assembly.ca.gov/system/files/2025-05/background_paper_genai_in_health_care_joint_asm_health_privacy_hearing_5.28.pdf,2025
https://mgaleg.maryland.gov/cmte_testimony/2025/fin/1xemGZLy9scMGuYG3fvyo0YGSzLoOo5j1.pdf,2025
https://www.health.ny.gov/health_care/medicaid/ebbrac/meetings/2024/docs/policy_brief_rpt.pdf,2024
https://www.peba.sc.gov/sites/default/files/hcp_materials_march2025.pdf,2024
https://www.capitol.tn.gov/Bills/114/Bill/SB1261.pdf,2006
https://www.tn.gov/content/dam/tn/health/documents/PH-3549.pdf,
https://www.house.texas.gov/pdfs/committees/reports/interim/88interim/House-Select-Committee-on-Artificial-Intelligence-and-Emerging-Technologies-Interim-Report-2024.pdf,2024
https://tsbde.texas.gov/78i8ljhbj/ADA-Use-of-AI-in-Dentistry.pdf,2024
https://ai.utah.gov/wp-content/uploads/Best-Practices-Mental-Health-Therapists.pdf,2025
https://mentalhealth.vermont.gov/sites/mentalhealth/files/ConfPres/Practical%20and%20Ethical%20Use%20of%20AI%20Maelisa%20McCaffrey.pdf,2014
https://ago.vermont.gov/sites/ago/files/2024-03/Apple%20Complaint%20--%20filed%2C%20stamped.pdf,2005
https://gmcboard.vermont.gov/sites/gmcb/files/Sola%20Quote.pdf,2019
https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Bills/5395.pdf,2025
https://wmc.wa.gov/sites/default/files/public/Newsletter/2024Spring/WMCUpdateSpring2024.pdf,2024
https://watech.wa.gov/sites/default/files/2025-01/EO%2024-01%20Risk%20Guidance_Final.pdf,2024
https://wmc.wa.gov/sites/default/files/public/Newsletter/2024Spring/5.Equity_Spring2024.pdf,
https://lpnboard.wv.gov/executivedirector/PublishingImages/Pages/default/NCSBN%20Artificial%20Intelligence%20handout_2022DCM_avandergaag.pdf,2020
https://dhhr.wv.gov/bms/BMSPUB/Documents/Quarter12024ProviderNewsletterFinal.pdf,2024
https://dhhr.wv.gov/bms/Provider/EHR/Documents/CMS%20SMHP%202020.pdf,2020
https://legis.wisconsin.gov/senate/28/bradley/media/5h3bvbnm/staff-brief.pdf,2024
https://www.dhs.wisconsin.gov/non-dhs/dph/heart-month-cdpp-partner-presentation-jan-2025.pdf,2025
https://www.biodiritto.org/ocmultibinary/download/4423/51767/1/de2e645d6bce65ab0e013e3208a22727/file/EPRS_STU%282022%29729512_EN.pdf,2022
https://www.fsmb.org/siteassets/advocacy/policies/incorporation-of-ai-into-practice.pdf,2024
https://www.ama-assn.org/system/files/physician-ai-sentiment-report.pdf,2023
https://www.aclu.org/sites/default/files/field_document/algo_health_white_paper_draft_final_v4.pdf,2020
https://www.ama-assn.org/system/files/ama-ai-principles.pdf,2018
https://www.chcf.org/wp-content/uploads/2024/04/ExaminingAIandHealthCare.pdf,2024
https://pdfs.semanticscholar.org/bc04/b9be191a02831f46858e7689c16cfb0ddeca.pdf,2023
https://protectpatientsnow.org/wp-content/uploads/2024/02/nejmhle2308901-1.pdf,2024
https://pathologyinnovationcc.org/s/P_nejmp2304993.pdf,2023
https://hai.stanford.edu/assets/files/2024-02/Facilitating-Responsible-Governance-Healthcare-AI.pdf,2024
https://online.yale.edu/sites/default/files/2024-10/YaleCertificateProgramInMedicalSoftwareAndMedicalAI.pdf,2025
https://healthpolicy.duke.edu/sites/default/files/2019-11/dukemargolisaienableddxss.pdf,2018
https://dho.stanford.edu/wp-content/uploads/FDA.pdf,2015
https://static1.squarespace.com/static/603ab50ab81d5532a0a4a42b/t/64ee0fca5901b07239942211/1693323210917/EPRS_STU%282022%29729512_EN.pdf,2022
https://www.cov.com/-/media/files/corporate/publications/2023/12/ai-brings-new-insurance-concerns-for-healthcare-providers.pdf,2023
https://triangle-octagon-8fxh.squarespace.com/s/R_1708961959366.pdf,2023
https://fsi9-prod.s3.us-west-1.amazonaws.com/s3fs-public/2024-02/mello_senate_testimony-ai_healthcare.pdf,2024
https://content.govdelivery.com/attachments/USFDA/2024/03/15/file_attachments/2815628/omp_aimedicalproducts_final_240313%20%281%29.pdf,2023
https://www.ahima.org/media/twjmtnq4/2024-artificial-intelligence-regulatory-resource-guide-axs.pdf,2024
https://www.ahima.org/media/b4fjlwbq/ahima-response-to-rep-bera-rfi_the-state-of-artificial-intelligence-in-health-care.pdf,2024
https://www.ahima.org/media/dp4jjue0/faq-ocr-anti-discrimination-final-rule-v2-final.pdf,2024
https://www.ahima.org/media/uzqnxgj0/2025-advocacy-agenda_final.pdf,2025
https://www.ahima.org/media/3a3axqt1/evolution_of_coding_whitepaper_agshealth_ada.pdf,1972
https://www.ahima.org/media/hxbdw0h5/ahima-cip-codes-nomination-letter-draft.pdf,2024
https://www.ahima.org/media/wnriy4bp/ahima-letter-to-congressional-leadership.pdf,2025
https://www.ahima.org/media/0dqk1sms/joint-industry-letter-cures-2_0-rfi-response.pdf,2016
https://www.ahima.org/media/hykh3n2k/2020-hiim-domains.pdf,
https://www.ama-assn.org/system/files/future-health-augmented-intelligence-health-care.pdf,2023
https://www.ama-assn.org/system/files/issue-brief-ai-state-advocacy-policy-priorities.pdf,2024
https://www.ama-assn.org/system/files/ai-educator-guide.pdf,2025
https://www.ama-assn.org/system/files/2019-01/augmented-intelligence-policy-report.pdf,2018
https://www.ama-assn.org/system/files/chatgpt-what-physicians-should-consider.pdf,2023
https://www.ama-assn.org/system/files/lozovatsky-insight-summit-presentation-slides.pdf,2025
https://www.ama-assn.org/system/files/i24-ipps-ed-session-ai-lightning-rounds-lozovatsky.pdf,2024
https://searchlf.ama-assn.org/letter/documentDownload?uri=/unstructured/binary/letter/LETTERS/lfscls.zip/2024-3-8-Letter-to-FSMB-Comments-Guidelines-Recommendations-on-AI-FINAL-002.pdf,2024
https://brand.amia.org/m/664b5e658f3a4a87/original/4-c-Final-AMIA-Factsheet_Responsible-AI-Integration-April-2024-1.pdf,2023
https://brand.amia.org/m/a88e9a52a3be72d/original/AMIA-Factsheet_Responsible-Use-of-AI-in-Healthcare.pdf,2023
https://brand.amia.org/m/2c9af1ce6b30ebd2/original/DDA-Finalist-2024-Sirui_Ding.pdf,2024
https://brand.amia.org/m/3416190c4ed987db/original/AMIA-DCI-AI-Policy-Brief.pdf,2022
https://brand.amia.org/m/157a583abcb20922/original/Xu-2024-election.pdf,2024
https://brand.amia.org/m/1e46ec873cb93f38/original/Resources-on-AI-Bias-Ep-30.pdf,2022
https://brand.amia.org/m/6952f38443f8661/original/Friends-of-ASTP_Senate-HELP-HHS-Budget-Hearing.pdf,2026
https://brand.amia.org/m/11e36a0494d4bc9a/original/AMIA-Public-Policy-Principles-2024-Final.pdf,2024
https://www.himss.org/sites/hde/files/media/file/2024/03/01/2023-himss-cybersecurity-survey-x.pdf,2023
https://gkc.himss.org/sites/hde/files/media/file/2024/01/31/ai-solutions-for-nurses-to-drive-efficiency-and-resilience.pdf,2027
https://legacy.himss.org/sites/hde/files/media/file/2024/03/08/2023-regulatory-history-for-cds_final_4.pdf,2014
https://legacy.himss.org/sites/hde/files/media/file/2024/04/05/himss_article_iberiancommunity.pdf,2024
https://gkc.himss.org/sites/hde/files/media/file/2024/10/02/smc-davies-award-case-study-pressure-injury-management.pdf,2024
https://keystone.himss.org/sites/hde/files/media/file/2022/12/21/dhi-white-paper.pdf,2019
https://gkc.himss.org/sites/hde/files/media/file/2023/09/27/dhage-report_2023_v6.pdf,2023
https://easterncanada.himss.org/sites/hde/files/2023-09/q2-thought-leadership-himss-on_0.pdf,2023
https://www.himss.org/sites/hde/files/handout-HA5_46.pdf,2021
https://newengland.himss.org/sites/hde/files/media/file/2023/08/11/stanford-medicine-himss-davies-2023-machine-learning-enabled-advance-care-planning-final.pdf,2023
https://canadianprairies.himss.org/sites/hde/files/media/file/2022/12/21/dhi-white-paper.pdf,2019
https://northernohio.himss.org/sites/hde/files/media/file/2022/12/01/himss_nurseinfocollaboration_wp.pdf,2022
https://greaterkansascity.himss.org/sites/hde/files/media/file/2024/07/10/sdoh_white-paper.pdf,2023
https://greaterkansascity.himss.org/sites/hde/files/driving-change-blog-series-2-x.pdf,
https://www.aha.org/system/files/media/file/2019/11/Market_Insights_AI_Care_Delivery.pdf,
https://www.aha.org/system/files/media/file/2025/01/Market_Insights_AI_Report-2025.pdf,2019
https://www.aha.org/system/files/media/file/2024/05/aha-response-to-representative-bera-on-artificial-intelligence-in-the-health-care-sector-letter-5-6-2024.pdf,2024
https://www.aha.org/system/files/media/file/2019/09/Market_Insights_AI_Workforce_2.pdf,
https://www.aha.org/system/files/media/file/2019/05/05072019-ms-innovation.pdf,2020
https://www.aha.org/system/files/media/file/2023/02/Health-Industry-Cybersecurity-Artificial-Intelligence-Machine-Learning-1.pdf,2022
https://www.aha.org/system/files/media/file/2019/09/Market_Insights_AI_Scenarios_0.pdf,2019
https://www.aha.org/system/files/media/file/2019/10/Market_Insights_AI-Landscape.pdf,
https://www.aha.org/system/files/media/file/2024/02/2024-Health-Care-Disruption-Outlook.pdf,2024
https://trustees.aha.org/system/files/media/file/2021/01/Martin_Top%2010%20Emerging%20Trends.pdf,2021
