Focus Area,Clinical Categories,URL
"Bias and Fairness, Privacy and Security, Transparency and Explainability","Radiology, Primary Care, Internal Medicine, Public Health",https://www.healthit.gov/sites/default/files/page/2020-02/GettingerModeratorSlidesAIPanelsforONCAnnualMeeting12720Final.pdf
"Bias and Fairness, Transparency and Explainability, Ethics and Consent",,https://www.healthit.gov/sites/default/files/page/2021-02/ONC-LEAP-in-Health-IT-SEN-FY2021.pdf
"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent, Governance Committees","Dermatology, Anesthesiology, Radiology, Nephrology, Internal Medicine",https://www.healthit.gov/sites/default/files/2022-01/ONC_AI_in_Health_IT_Showcase.pdf
"Bias and Fairness, Privacy and Security, Safety and Risk Management",,https://www.healthit.gov/sites/default/files/facas/2024-04-11_John_Brownstein_Presentation_508.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://www.healthit.gov/sites/default/files/page/2024-11/HITAC_Annual_Report_for_FY24_508.pdf
"Bias and Fairness, Transparency and Explainability, Safety and Risk Management, Governance Committees",,https://digirepo.nlm.nih.gov/master/borndig/9918734183106676/9918734183106676.pdf
"Reliability and Performance, Privacy and Security",,https://dpcpsi.nih.gov/sites/default/files/2025-04/115PM-OSC-Concept-Clearance-PRIMED-AI-Chiang-Tromberg-508.pdf
"Bias and Fairness, Reliability and Performance, Safety and Risk Management, Governance Committees",,https://commonfund.nih.gov/sites/default/files/PRIMED-AI/PRIMED-AI%20External-Input-Narrative-508.pdf
Safety and Risk Management,,https://seed.nih.gov/sites/default/files/2023-09/NIA-SaMD-and-AI.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://seed.nih.gov/sites/default/files/2025-03/HHS_Topics_for_Budget_WaiversREV.pdf
"Reliability and Performance, Safety Risk and Management, Privacy and Security, Governance Committees",,https://braininitiative.nih.gov/sites/default/files/documents/brain2025_508c_2.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Safety and Risk Management, Governance Committees",,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-5.pdf
"Bias and Fairness, Privacy and Security, Ethics and Consent",,https://nvlpubs.nist.gov/nistpubs/ir/2015/NIST.IR.8084.pdf
"Bias and Fairness, Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-206.pdf
"Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/1500-18/NIST.SP.1500-18r2.pdf
"Reliability and Performance, Transparency and Explainability",,https://www.cms.gov/priorities/innovation/files/x/aichallenge-pubnotice_08_13_2020.pdf
"Reliability and Performance, Transparency and Explainability",,https://www.cms.gov/priorities/innovation/files/slides/ai-hoc-overview-webinar-slides.pdf
"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent",,https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf
"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent",,https://www.cdc.gov/health-communication/media/pdfs/2024/10/AI-for-Good_Listen-Up_S2E5_Transcript.pdf
"Bias and Fairness, Privacy and Security, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://beta.cdc.gov/global-health/media/pdfs/GDHS_Strategy2022_REV_508.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",Unclassified,https://www.whitehouse.gov/wp-content/uploads/2023/11/AI-in-Government-Memo-draft-for-public-review.pdf
"Bias and Fairness, Reliability and Performance, Transparency and Explanability, Ethics and Consent","Cardiology, Oncology, Internal Medicine, Public Health",https://www.aim-ahead.net/media/hd3fws1l/dstc-resources-pptx.pdf
"Bias and Fairness, Reliability and Performance, Transparency and Explanability, Ethics and Consent","Cardiology, Oncology, Internal Medicine, Public Health, Behavioral Health",https://www.aim-ahead.net/media/3cvd4x4g/pair-cohort-2-informational-webinar-shared.pdf
"Reliability and Performance, Privacy and Security, Transparency and Explainability","Oncology, Radiology, Internal Medicine, Pathology, Public Health",https://www.aim-ahead.net/media/5q3hmb5b/webinar-4-slide-presentation.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",Public Health,https://aitaskforce.alabama.gov/wp-content/uploads/2025/03/GenAI-TaskForce-Report_Final_20250321-002.pdf
"Reliability and Performance, Privacy and Security","Internal Medicine, Public Health, Mental Health",https://medicaid.alabama.gov/documents/7.0_Providers/7.6_Manuals/7.8_PES_Manual_2-12-25.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management, Governance Committees","Internal Medicine, Mental Health, Neurology, Oncology",https://agi.alabama.gov/hemp/wp-content/uploads/sites/11/2022/03/Medical-Cannabis-Act-2021-450.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management, Governance Committees","Public Health, Internal Medicine, Mental Health",https://doc.alabama.gov/docs/AdminRegs/AR410.pdf
"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://oag.ca.gov/system/files/attachments/press-docs/Legal%20Advisory%20-%20Application%20of%20Existing%20CA%20Laws%20to%20Artificial%20Intelligence.pdf
"Bias and Fairness, Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://www.insurance.ca.gov/0250-insurers/0500-legal-info/0200-regulations/HealthGuidance/upload/SB-1120-1-Guidance-Use-of-Artificial-Intelligence-Algorithms-and-Other-Software-Tools-in-Utilization-Management.pdf
"Bias and Fairness, Transparency and Explainability",,https://oag.ca.gov/system/files/attachments/press-docs/FINAL-%20Letter%20to%20Secretary%20Xavier%20Becerra%20and%20Dr.%20Tripathi%206-20-2023.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://apcp.assembly.ca.gov/system/files/2025-04/ab-489-bonta-apcp-analysis_0.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://apcp.assembly.ca.gov/system/files/2024-04/ab-3030-calderon-apcp-analysis.pdf
"Bias and Fairness, Governance Committees",,https://sjud.senate.ca.gov/system/files/2025-04/sb-503-weber-pierson-sjud-analysis.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://apcp.assembly.ca.gov/system/files/2025-05/background-paper-genai-in-health-care-joint-asm-health-privacy-hearing-5.28.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://portal.ct.gov/-/media/sde/board/position_statement_cell_phone_use.pdf
"Privacy and Security, Safety and Risk Management",,https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/dphacc2007.pdf
Reliability and Performance,,https://dhr.delaware.gov/benefits/sebc/documents/sub-comm-2020/0109-cerner-presentation.pdf
unclassified,,https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/2009ruralmentalhealthassessment.pdf
"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/demsocreport2017.pdf
"Privacy and Security, Safety and Risk Management",,https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/dphacc2008.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://dvcc.delaware.gov/wp-content/uploads/sites/87/2021/03/2021_DVCC_DV_Manual_for_HCPs_FINAL_03.09.2021.pdf
"Reliability and Performance, Privacy and Security, Safety and Risk Management",,https://ahca.myflorida.com/content/download/22410/file/FL_2021-2022_EQR-TR_Report.pdf
"Privacy and Security, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://ahca.myflorida.com/content/download/7238/file/Ambulatory_Surgical_Center_ST_M.pdf
