Name,Focus Area,Notes/Questions,URL,
Joe,"Reliability and Performance, Transparency and Explainability, Safety and Risk Management",,https://www.fda.gov/files/medical%20devices/published/US-FDA-Artificial-Intelligence-and-Machine-Learning-Discussion-Paper.pdf,
Joe,"Reliability and Performance, Transparency and Explainability, Ethics and Consent, Safety and Risk Management",,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf,
Joe,"Reliability and Performance, Transparency and Explainability, Ethics and Consent, Safety and Risk Management",,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf,
Joe,Unclassified,,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232672.pdf,
Joe,Unclassified,,https://www.accessdata.fda.gov/cdrh_docs/pdf2/P020011c.pdf,
Joe,Unclassified,,https://www.fda.gov/files/food/published/GRAS-Notice-000581.pdf,
Joe,Unclassified,,https://www.accessdata.fda.gov/cdrh_docs/pdf4/P040052c.pdf,
Joe,Unclassified,,https://www.hhs.gov/guidance/sites/default/files/hhs-guidance-documents/FDA/Guidance-Clinical-Decision-Software.pdf,
Joe,"Bias and Fairness, Privacy and Security, Ethics and Consent, Governance Committees",,https://www.hhs.gov/sites/default/files/sharing-and-utilizing-health-data-for-ai-applications.pdf,
Joe,"Reliability and Performance, Transparency and Explainability, Ethics and Consent, Governance Committees",,https://www.hhs.gov/sites/default/files/final-hhs-ai-strategy.pdf,
Joe,"Bias and Fairness, Privacy and Security, Ethics and Consent, Governance Committees",,https://www.hhs.gov/sites/default/files/department-of-health-and-human-services-omb-m-21-06.pdf,
Joe,"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent, Governance Committees",,https://www.hhs.gov/sites/default/files/ohrp-exploratory-workshop-summary-report-2024.pdf,
Joe,"Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf,
Joe,"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf,
Joe,"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent",,https://www.hhs.gov/sites/default/files/public-benefits-and-ai.pdf,
Joe,"Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://www.hhs.gov/sites/default/files/social-engineering-targeting-the-hph-sector-tlpclear.pdf,
Joe,"Privacy and Security, Ethics and Consent, Safety and Risk Management",,https://www.hhs.gov/sites/default/files/ai-and-phishing-as-a-threat-to-the-hph-white-paper-tlpclear.pdf,
Joe,Unclassified,,https://aspe.hhs.gov/sites/default/files/documents/29169d5765caa32bc6afc3ae1893221f/fy2024-ospcortf-annual-report.pdf,
Joe,Unclassified,,https://aspe.hhs.gov/sites/default/files/documents/f56f32a676f33fe746209e56d6b72191/vaccine-outreach-research-report-sept-release.pdf,
Joe,Unclassified,,https://aspe.hhs.gov/sites/default/files/documents/6ba4bbb2e9c9551355a6926f023f1585/SDOH-Evidence-Review.pdf,
Winnie,Unclassified,,https://aspe.hhs.gov/sites/default/files/documents/a4aef2b535dfc8a5a5571912e35c51a6/aspe-brief-human-services-health-data-linking.pdf,
Winnie,Unclassified,,https://aspe.hhs.gov/sites/default/files/documents/ff2e6f2963400dcd00e0132fb9870525/preparedness-metrics-report.pdf,
Joe,"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent, Governance Committees",,https://www.healthit.gov/sites/default/files/jsr-17-task-002_aiforhealthandhealthcare12122017.pdf,
Joe,"Bias and Fairness, Privacy and Security, Transparency and Explainability",,https://www.healthit.gov/sites/default/files/page/2020-02/GettingerModeratorSlidesAIPanelsforONCAnnualMeeting12720Final.pdf,
Joe,"Bias and Fairness, Transparency and Explainability, Ethics and Consent",,https://www.healthit.gov/sites/default/files/page/2021-02/ONC-LEAP-in-Health-IT-SEN-FY2021.pdf,
Joe,"Bias and Fairness, Privacy and Security, Transparency and Explainability, Ethics and Consent, Governance Committees",,https://www.healthit.gov/sites/default/files/2022-01/ONC_AI_in_Health_IT_Showcase.pdf,
Joe,"Bias and Fairness, Privacy and Security, Safety and Risk Management",,https://www.healthit.gov/sites/default/files/facas/2024-04-11_John_Brownstein_Presentation_508.pdf,
Joe,Unclassified,,https://www.healthit.gov/sites/default/files/facas/2024-01-18_HTI-1_Final_Rule_Overview_508.pdf,
Joe,Unclassified,,https://www.healthit.gov/sites/default/files/facas/2024-04-11_HITAC_Transcript_508.pdf,
Joe,Unclassified,,https://www.healthit.gov/sites/default/files/2024-09/Natalie%20Torentinos.pdf,
Abha,"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Ethics and Consent, Safety and Risk Management, Governance Committees",,https://www.healthit.gov/sites/default/files/page/2024-11/HITAC_Annual_Report_for_FY24_508.pdf ,
Abha,"Bias and Fairness, Reliability and Performance, Privacy and Security, Transparency and Explainability, Safety and Risk Management",,https://www.healthit.gov/sites/default/files/2023-05/HTI%201%20DSI%20Webinar_508.pdf ,
Abha,Governance Committes (Not exactly healthcare related) - to check,,https://www.healthit.gov/sites/default/files/page/2020-03/ACatalogandReviewofPublicHealthReportingBurdenintheU.S.e.pdf ,
Abha,"Safety and Risk Management, Governance Committees (Not exactly healthcare related) - to check",,https://www.healthit.gov/sites/default/files/task_8_1_final_508.pdf ,
