PDF Link,AI Applications,Similarity Scores
https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221624.pdf,[],{}
https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193271.pdf,[],{}
https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232672.pdf,[],{}
https://www.accessdata.fda.gov/cdrh_docs/pdf2/P020011c.pdf,[],{}
https://www.accessdata.fda.gov/cdrh_docs/pdf4/P040052c.pdf,[],{}
https://405d.hhs.gov/Documents/405d-post-volxxv-july-2024.pdf,"['Operational and Administrative Automation', 'Research and Clinical Trial AI', 'Clinical Documentation AI']","{'Operational and Administrative Automation': 0.6297378568501393, 'Research and Clinical Trial AI': 0.6042479996315272, 'Clinical Documentation AI': 0.6237185242396835}"
https://aspe.hhs.gov/sites/default/files/documents/1348a9a067fd4d225981a822dfe25ea5/trustworthy-ai.pdf,"['Clinical Documentation AI', 'Medical Imaging AI', 'Education and Training AI', 'Research and Clinical Trial AI', 'Public Health AI']","{'Clinical Documentation AI': 0.6227762110599778, 'Medical Imaging AI': 0.6206573485545507, 'Education and Training AI': 0.6235189419319043, 'Research and Clinical Trial AI': 0.6658840241528677, 'Public Health AI': 0.6273864828865593}"
https://aspe.hhs.gov/sites/default/files/documents/29169d5765caa32bc6afc3ae1893221f/fy2024-ospcortf-annual-report.pdf,[],{}
https://aspe.hhs.gov/sites/default/files/documents/a4aef2b535dfc8a5a5571912e35c51a6/aspe-brief-human-services-health-data-linking.pdf,[],{}
https://aspe.hhs.gov/sites/default/files/documents/ff2e6f2963400dcd00e0132fb9870525/preparedness-metrics-report.pdf,[],{}
https://dpcpsi.nih.gov/sites/default/files/2025-04/115PM-OSC-Concept-Clearance-PRIMED-AI-Chiang-Tromberg-508.pdf,[],{}
https://commonfund.nih.gov/sites/default/files/PRIMED-AI/PRIMED-AI%20External-Input-Narrative-508.pdf,[],{}
https://datascience.nih.gov/sites/default/files/users/user516/AI-Supplement-Dr.-Alaa-Youssef-Presentation-508.pdf,['Research and Clinical Trial AI'],{'Research and Clinical Trial AI': 0.6013938482988388}
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/1500-18/NIST.SP.1500-18r2.pdf,[],{}
https://www.cms.gov/priorities/innovation/files/slides/ai-hoc-overview-webinar-slides.pdf,[],{}
https://www.cms.gov/priorities/innovation/Files/reports/QCA-Report.pdf,[],{}
https://www.cms.gov/research-statistics-data-and-systems/research/healthcarefinancingreview/downloads/cms1191601dl.pdf,[],{}
https://www.cdc.gov/pcd/issues/2024/pdf/24_0245.pdf,"['Public Health AI', 'Clinical Documentation AI', 'Education and Training AI', 'Medical Imaging AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Predictive Analytics', 'Research and Clinical Trial AI']","{'Public Health AI': 0.6460129546430045, 'Clinical Documentation AI': 0.6143388806249657, 'Education and Training AI': 0.6142726383890702, 'Medical Imaging AI': 0.6328333114750503, 'Operational and Administrative Automation': 0.620307421045833, 'Patient-facing AI': 0.6249330628812502, 'Predictive Analytics': 0.6206867576699413, 'Research and Clinical Trial AI': 0.6175796118611142}"
https://www.whitehouse.gov/wp-content/uploads/2020/08/M-20-29.pdf,['Public Health AI'],{'Public Health AI': 0.6203749500131818}
https://www.whitehouse.gov/wp-content/uploads/2025/05/WH-The-MAHA-Report-Assessment.pdf,[],{}
https://www.whitehouse.gov/wp-content/uploads/2018/07/M-18-22.pdf,[],{}
https://www.aim-ahead.net/media/hd3fws1l/dstc-resources-pptx.pdf,['Education and Training AI'],{'Education and Training AI': 0.6063795749326124}
https://www.aim-ahead.net/media/3cvd4x4g/pair-cohort-2-informational-webinar-shared.pdf,[],{}
https://aitaskforce.alabama.gov/wp-content/uploads/2025/03/GenAI-TaskForce-Report_Final_20250321-002.pdf,"['Education and Training AI', 'Public Health AI', 'Operational and Administrative Automation', 'Clinical Documentation AI']","{'Education and Training AI': 0.6344386572251752, 'Public Health AI': 0.6733326648433378, 'Operational and Administrative Automation': 0.6158061589456117, 'Clinical Documentation AI': 0.6109258751104474}"
https://medicaid.alabama.gov/documents/7.0_Providers/7.6_Manuals/7.8_PES_Manual_2-12-25.pdf,[],{}
https://agi.alabama.gov/hemp/wp-content/uploads/sites/11/2022/03/Medical-Cannabis-Act-2021-450.pdf,[],{}
https://doc.alabama.gov/docs/AdminRegs/AR410.pdf,[],{}
https://budget.alabama.gov/wp-content/uploads/2024/02/State-of-Alabama-Budget-Report-2025-FINAL-v2.pdf,[],{}
http://shpda.alabama.gov/Announcements/certificateofneed/EQR/FY2025/EQR2025-004%20Mobile%20Infirmary%20Medical%20Center%20-%20Equip%20Replacement%2011.21.2024.pdf,[],{}
https://health.alaska.gov/media/qgvp5izy/fy23_annualreport.pdf,[],{}
https://dggs.alaska.gov/webpubs/dggs/po/text/po2019_004.pdf,[],{}
https://difi.az.gov/sites/default/files/report-to-congress-2024.pdf,[],{}
https://dcs.az.gov/sites/default/files/DCS-Reports/ADCS_Next%20Event%20Study_June%202023.pdf,[],{}
https://www.sos.arkansas.gov/uploads/rulesRegs/Arkansas%20Register/2008/mar_apr_2008/007.04.07--002.pdf,[],{}
https://www.sos.arkansas.gov/uploads/rulesRegs/Arkansas%20Register/2006/nov_dec_2006/016.24.06-007.pdf,[],{}
https://information.auditor.ca.gov/pdfs/reports/2022-102.pdf,[],{}
https://dhr.delaware.gov/benefits/sebc/documents/sub-comm-2020/0109-cerner-presentation.pdf,[],{}
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/2009ruralmentalhealthassessment.pdf,[],{}
https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/demsocreport2017.pdf,[],{}
https://dvcc.delaware.gov/wp-content/uploads/sites/87/2021/03/2021_DVCC_DV_Manual_for_HCPs_FINAL_03.09.2021.pdf,[],{}
https://ahca.myflorida.com/content/download/22410/file/FL_2021-2022_EQR-TR_Report.pdf,[],{}
https://ahca.myflorida.com/content/download/24675/file/MED180%20D50%20MMA%20Summative%20Report%20FINAL.pdf,[],{}
https://ahca.myflorida.com/content/download/10499/file/SCHIP_MeetingPacket061621.pdf,[],{}
"https://ahca.myflorida.com/content/download/24421/file/The%20Joseph%20L.%20Morse%20Health%20Center,%20Inc.%20-%20Redacted.pdf",[],{}
https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/NOTICES/New%20Biller-Web%20Portal%20Navigation%202023%20Webinar%20PresentationFINALFINAL%2020230112173143.pdf,[],{}
https://labor.hawaii.gov/hiosh/files/2022/01/Preventing-Needlestick-Injuries-in-Health-Care-Settings.pdf,[],{}
https://health.hawaii.gov/dcab/files/2013/01/2012-DCABtravel-Maui-brochure.pdf,[],{}
https://health.hawaii.gov/dcab/files/2013/01/2012-DCABtravel-Kauai-brochure.pdf,[],{}
https://health.hawaii.gov/dcab/files/2014/11/2014-DCABtravel-Oahu.pdf,[],{}
https://luc.hawaii.gov/wp-content/uploads/2019/08/A19-809-Working-Miki-Basin-C-00137622.pdf,[],{}
