URL,AI Applications,Similarity Scores
https://pdfs.semanticscholar.org/bc04/b9be191a02831f46858e7689c16cfb0ddeca.pdf,['Education and Training AI'],{'Education and Training AI': 0.6589852935089385}
https://protectpatientsnow.org/wp-content/uploads/2024/02/nejmhle2308901-1.pdf,[],{}
https://pathologyinnovationcc.org/s/P_nejmp2304993.pdf,['Education and Training AI'],{'Education and Training AI': 0.6459135088874925}
https://hai.stanford.edu/assets/files/2024-02/Facilitating-Responsible-Governance-Healthcare-AI.pdf,[],{}
https://online.yale.edu/sites/default/files/2024-10/YaleCertificateProgramInMedicalSoftwareAndMedicalAI.pdf,['Medical Imaging AI'],{'Medical Imaging AI': 0.6114679118643371}
https://healthpolicy.duke.edu/sites/default/files/2019-11/dukemargolisaienableddxss.pdf,"['Clinical Decision Support', 'Medical Imaging AI', 'Predictive Analytics', 'Clinical Documentation AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Education and Training AI', 'Research and Clinical Trial AI']","{'Clinical Decision Support': 0.6444535140039773, 'Medical Imaging AI': 0.6440720215492858, 'Predictive Analytics': 0.6383274868142816, 'Clinical Documentation AI': 0.6292167504647487, 'Operational and Administrative Automation': 0.6315819256063726, 'Patient-facing AI': 0.6340925488942651, 'Education and Training AI': 0.6256033104824194, 'Research and Clinical Trial AI': 0.607239336907975}"
https://dho.stanford.edu/wp-content/uploads/FDA.pdf,"['Patient-facing AI', 'Research and Clinical Trial AI']","{'Patient-facing AI': 0.6102391681606666, 'Research and Clinical Trial AI': 0.6348216331133015}"
https://static1.squarespace.com/static/603ab50ab81d5532a0a4a42b/t/64ee0fca5901b07239942211/1693323210917/EPRS_STU%282022%29729512_EN.pdf,"['Public Health AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Education and Training AI', 'Robotics and Surgical AI', 'Research and Clinical Trial AI', 'Clinical Decision Support', 'Clinical Documentation AI', 'Medical Imaging AI', 'Predictive Analytics']","{'Public Health AI': 0.6360023124786379, 'Operational and Administrative Automation': 0.6511349352272953, 'Patient-facing AI': 0.6359573836105615, 'Education and Training AI': 0.6162668352440817, 'Robotics and Surgical AI': 0.6105361963527469, 'Research and Clinical Trial AI': 0.6377036689249284, 'Clinical Decision Support': 0.6121375026781146, 'Clinical Documentation AI': 0.6272836258887493, 'Medical Imaging AI': 0.642903769194863, 'Predictive Analytics': 0.6393917293586089}"
https://www.cov.com/-/media/files/corporate/publications/2023/12/ai-brings-new-insurance-concerns-for-healthcare-providers.pdf,"['Medical Imaging AI', 'Operational and Administrative Automation', 'Patient-facing AI', 'Robotics and Surgical AI']","{'Medical Imaging AI': 0.6548051749890488, 'Operational and Administrative Automation': 0.6122665113207038, 'Patient-facing AI': 0.6237789611405499, 'Robotics and Surgical AI': 0.6337398469986497}"
https://triangle-octagon-8fxh.squarespace.com/s/R_1708961959366.pdf,"['Education and Training AI', 'Medical Imaging AI', 'Patient-facing AI', 'Public Health AI', 'Clinical Documentation AI', 'Research and Clinical Trial AI', 'Predictive Analytics', 'Clinical Decision Support', 'Robotics and Surgical AI', 'Operational and Administrative Automation']","{'Education and Training AI': 0.6173334879051467, 'Medical Imaging AI': 0.6330571079254896, 'Patient-facing AI': 0.6342592671130998, 'Public Health AI': 0.6102575117156217, 'Clinical Documentation AI': 0.6376115158935141, 'Research and Clinical Trial AI': 0.6349343339285723, 'Predictive Analytics': 0.6353029260297005, 'Clinical Decision Support': 0.6365043841637954, 'Robotics and Surgical AI': 0.6302920862476248, 'Operational and Administrative Automation': 0.688471546216664}"
https://fsi9-prod.s3.us-west-1.amazonaws.com/s3fs-public/2024-02/mello_senate_testimony-ai_healthcare.pdf,[],{}
https://content.govdelivery.com/attachments/USFDA/2024/03/15/file_attachments/2815628/omp_aimedicalproducts_final_240313%20%281%29.pdf,[],{}
https://www.ahima.org/media/twjmtnq4/2024-artificial-intelligence-regulatory-resource-guide-axs.pdf,['Clinical Decision Support'],{'Clinical Decision Support': 0.6395285086299205}
https://www.ahima.org/media/b4fjlwbq/ahima-response-to-rep-bera-rfi_the-state-of-artificial-intelligence-in-health-care.pdf,"['Operational and Administrative Automation', 'Clinical Documentation AI']","{'Operational and Administrative Automation': 0.6331888672426549, 'Clinical Documentation AI': 0.6149676394577848}"
https://www.ahima.org/media/dp4jjue0/faq-ocr-anti-discrimination-final-rule-v2-final.pdf,['Clinical Decision Support'],{'Clinical Decision Support': 0.6325090428701705}
https://www.ahima.org/media/uzqnxgj0/2025-advocacy-agenda_final.pdf,['Education and Training AI'],{'Education and Training AI': 0.6131389971465181}
https://www.ahima.org/media/3a3axqt1/evolution_of_coding_whitepaper_agshealth_ada.pdf,[],{}
https://www.ahima.org/media/hxbdw0h5/ahima-cip-codes-nomination-letter-draft.pdf,"['Operational and Administrative Automation', 'Education and Training AI']","{'Operational and Administrative Automation': 0.617691234668209, 'Education and Training AI': 0.6323086986456985}"
https://www.ahima.org/media/wnriy4bp/ahima-letter-to-congressional-leadership.pdf,"['Operational and Administrative Automation', 'Education and Training AI', 'Clinical Documentation AI']","{'Operational and Administrative Automation': 0.6303558687750153, 'Education and Training AI': 0.6922874928204344, 'Clinical Documentation AI': 0.6113988499426419}"
https://www.ahima.org/media/0dqk1sms/joint-industry-letter-cures-2_0-rfi-response.pdf,[],{}
